,0,1,2,3,4,5,6
1091,0.0,0.0,1.0,0.0,12-10-06,8:45,336
7325,0.0,0.0,0.0,1.0,15-10-06,7:15,44
6873,0.0,0.0,0.0,1.0,10-10-06,14:15,292
4209,1.0,0.0,0.0,0.0,13-10-06,20:15,72
6633,0.0,0.0,0.0,1.0,08-10-06,2:15,43
624,0.0,0.0,1.0,0.0,07-10-06,12:00,371
8500,0.0,0.0,0.0,1.0,27-10-06,13:00,310
9097,0.0,1.0,0.0,0.0,02-10-06,18:15,287
2152,0.0,0.0,1.0,0.0,23-10-06,10:00,268
11741,0.0,1.0,0.0,0.0,31-10-06,7:15,120
8433,0.0,0.0,0.0,1.0,26-10-06,20:15,209
366,0.0,0.0,1.0,0.0,04-10-06,19:30,167
2768,0.0,0.0,1.0,0.0,29-10-06,20:00,143
7810,0.0,0.0,0.0,1.0,20-10-06,8:30,326
10364,0.0,1.0,0.0,0.0,16-10-06,23:00,39
7851,0.0,0.0,0.0,1.0,20-10-06,18:45,359
7530,0.0,0.0,0.0,1.0,17-10-06,10:30,245
3055,1.0,0.0,0.0,0.0,01-10-06,19:45,72
3132,1.0,0.0,0.0,0.0,02-10-06,15:00,149
7203,0.0,0.0,0.0,1.0,14-10-06,0:45,51
10460,0.0,1.0,0.0,0.0,17-10-06,23:00,52
5359,1.0,0.0,0.0,0.0,25-10-06,19:45,93
3201,1.0,0.0,0.0,0.0,03-10-06,8:15,239
3842,1.0,0.0,0.0,0.0,10-10-06,0:30,9
1756,0.0,0.0,1.0,0.0,19-10-06,7:00,252
5614,1.0,0.0,0.0,0.0,28-10-06,11:30,156
343,0.0,0.0,1.0,0.0,04-10-06,13:45,288
4436,1.0,0.0,0.0,0.0,16-10-06,5:00,11
6339,0.0,0.0,0.0,1.0,05-10-06,0:45,18
1001,0.0,0.0,1.0,0.0,11-10-06,10:15,290
8434,0.0,0.0,0.0,1.0,26-10-06,20:30,202
6971,0.0,0.0,0.0,1.0,11-10-06,14:45,287
2140,0.0,0.0,1.0,0.0,23-10-06,7:00,275
11605,0.0,1.0,0.0,0.0,29-10-06,21:15,57
1121,0.0,0.0,1.0,0.0,12-10-06,16:15,380
6692,0.0,0.0,0.0,1.0,08-10-06,17:00,421
6086,0.0,0.0,0.0,1.0,02-10-06,9:30,240
1094,0.0,0.0,1.0,0.0,12-10-06,9:30,393
8788,0.0,0.0,0.0,1.0,30-10-06,13:00,300
2179,0.0,0.0,1.0,0.0,23-10-06,16:45,319
4805,1.0,0.0,0.0,0.0,20-10-06,1:15,3
4827,1.0,0.0,0.0,0.0,20-10-06,6:45,204
7681,0.0,0.0,0.0,1.0,19-10-06,0:15,35
5583,1.0,0.0,0.0,0.0,28-10-06,3:45,6
10864,0.0,1.0,0.0,0.0,22-10-06,4:00,18
8801,0.0,0.0,0.0,1.0,30-10-06,16:15,389
8189,0.0,0.0,0.0,1.0,24-10-06,7:15,268
6908,0.0,0.0,0.0,1.0,10-10-06,23:00,74
7523,0.0,0.0,0.0,1.0,17-10-06,8:45,286
4555,1.0,0.0,0.0,0.0,17-10-06,10:45,128
9304,0.0,1.0,0.0,0.0,05-10-06,22:00,66
6651,0.0,0.0,0.0,1.0,08-10-06,6:45,49
2034,0.0,0.0,1.0,0.0,22-10-06,4:30,8
9036,0.0,1.0,0.0,0.0,02-10-06,3:00,4
10233,0.0,1.0,0.0,0.0,15-10-06,14:15,160
10510,0.0,1.0,0.0,0.0,18-10-06,11:30,149
4393,1.0,0.0,0.0,0.0,15-10-06,18:15,136
2228,0.0,0.0,1.0,0.0,24-10-06,5:00,24
10342,0.0,1.0,0.0,0.0,16-10-06,17:30,338
5358,1.0,0.0,0.0,0.0,25-10-06,19:30,98
2627,0.0,0.0,1.0,0.0,28-10-06,8:45,267
8090,0.0,0.0,0.0,1.0,23-10-06,6:30,151
10892,0.0,1.0,0.0,0.0,22-10-06,11:00,112
8437,0.0,0.0,0.0,1.0,26-10-06,21:15,295
11774,0.0,1.0,0.0,0.0,31-10-06,15:30,228
7086,0.0,0.0,0.0,1.0,12-10-06,19:30,280
7491,0.0,0.0,0.0,1.0,17-10-06,0:45,25
4311,1.0,0.0,0.0,0.0,14-10-06,21:45,37
1098,0.0,0.0,1.0,0.0,12-10-06,10:30,323
8662,0.0,0.0,0.0,1.0,29-10-06,5:30,23
9145,0.0,1.0,0.0,0.0,03-10-06,6:15,26
2164,0.0,0.0,1.0,0.0,23-10-06,13:00,250
9327,0.0,1.0,0.0,0.0,06-10-06,3:45,6
9559,0.0,1.0,0.0,0.0,08-10-06,13:45,163
