val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.0019432227293628896,78050.0949408457,0.005303323284840639,195171.86796158375
0.001207498116270595,111423.58045166632,0.0017290301760543593,96334.65441810247
0.001267631939631451,89940.32399218585,0.0014489084173919659,79510.59059643045
0.0011848737282124232,96885.0042533342,0.00138483578921525,74409.5187260789
0.001199093004962262,56209.58870751655,0.0013529133080561963,71795.65749610338
0.0012701497503128753,113259.84735876843,0.001333164889591277,68666.57732227871
0.0011486436478080364,58070.22822472819,0.0013114493583821273,67628.49307509008
0.0011192901366819071,65955.7241683953,0.0012970418052739199,64690.92177628472
0.0011220730049695767,63028.28542600431,0.0012870019350354216,63532.63220872382
0.0011272317502005029,68344.45469810638,0.0012727688499105747,62336.724428799476
