val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.0016227710395220593,166923.93771749677,0.007220372941454025,447849.2345718535
0.0012847491010817796,135558.91095571363,0.0015474604597607185,175036.43408547295
0.0012057546424673147,122082.30828716054,0.001376368458931391,131332.90145173302
0.0011563689038866765,97568.51334276544,0.0013107785134793318,105334.84413808167
0.0011467134885660814,77645.60096754458,0.0012882997003592484,93866.3092829296
0.0011409309025085415,88049.01157701164,0.001264953622278743,88042.82051151364
0.0011348067392845016,84817.0783745978,0.0012470229021673722,82324.21696542532
0.0011425611511430673,90436.66546615426,0.0012354041336417804,80001.41379586086
0.0011329347403696284,116138.04490636774,0.001218529626631849,75096.2076243943
0.0011418694881888116,145817.75137086184,0.0012107333282932286,72696.75299566492
