val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.001322137010055064,97998.82672552226,0.004021836331014249,203673.65334100917
0.001286059863921775,90419.35478156064,0.0013571155946584033,118551.3597007382
0.0012801567539561752,80492.15778119967,0.0013389101143500785,105830.25156636571
0.0013028218254196536,81243.16692247866,0.0013308064644063612,99912.69021721628
0.0013241872665541213,81378.0137445855,0.0013271863097778262,95113.65383122496
0.0012846186501325736,93118.66407840243,0.0013232564053014314,92741.9966478598
0.0013208532357273767,58573.57537221906,0.0013196530512942352,90304.45748629622
0.0014793738037998032,54547.343724932914,0.001316607783076421,88792.24517730098
0.0012956854293193418,62487.2283064346,0.0013115320522806354,85775.3075829289
0.0012639168725877617,75268.30185919847,0.0013103619608118306,84881.21299725138
0.0013007061897911199,73946.13751045473,0.0013080928611382515,84215.364933895
0.001283714737621996,57143.86979827671,0.0012996797525286373,81609.82205179342
0.0012580975253305138,64941.803986451894,0.001302267362322779,81691.74384890168
0.0012922329643839797,67077.8599327027,0.0013026303189236157,80632.11244326818
0.0012714616404431536,65094.3897559226,0.0012975393956592479,80284.94506150584
0.001274590061917939,60896.13563211586,0.0012961285681552144,79797.813095748
0.0012874942578789627,74867.54364939318,0.0012936786069079292,78414.41827602188
0.0012827165027621474,88322.40825661209,0.0012919907906785261,79226.6850955718
0.0012879530937765307,81687.19346890379,0.0012928887745785776,78988.34476141776
0.0012862212674730766,68488.44416110657,0.0012883987459921763,78133.88979390082
0.0012611604786075573,61383.99559167387,0.0012892620878898011,78737.45860747831
0.0012879332735559936,68088.86581146078,0.00128591668824343,78235.93060504655
0.0012575115719335667,78851.4711116067,0.001284817849379541,77417.81932198732
0.0012772382987249228,58637.054118557026,0.0012839222029291662,78885.84678937391
0.0012598642542813057,65240.06817368698,0.0012867369924194146,76834.33480948569
0.0012885608500327478,64638.560103395175,0.001283650798721098,77334.35622321398
0.0012734496220005306,55961.56447656352,0.0012830550200636473,77450.13754258332
0.001356316003452366,76047.67972010317,0.0012817808627881948,77251.25040506259
0.0013232285716242567,71567.14124851578,0.0012812596169088108,76963.66284311374
0.0012677673491977067,66625.7043228873,0.0012797658953786783,76667.07820637825
0.0012918883734858674,80611.5763453009,0.001280324291441551,77176.26093014675
0.0013085985722748224,44571.292642909844,0.001274932570904197,76377.1174296128
0.001263053608545062,75804.52888063368,0.001277836065971266,76077.34463764107
0.0012952641096924404,78356.07097069456,0.0012770842657784083,75972.2080838796
0.0013009941481258718,47931.663181256285,0.001273030566341147,75144.01240806692
0.0012528151722304409,60658.189507889394,0.0012768280611044269,75233.86449592178
0.0012475630355033261,64028.831961349555,0.0012712306283175407,75180.24816865832
0.001257443051592705,69592.95456576657,0.0012697942062316928,75521.65190464226
0.0012522949579513339,57605.613611720386,0.0012720595660091112,75422.39481085516
0.0012573063825020501,68482.17803856486,0.0012706259595294945,75017.2941939113
0.001243979276567086,63190.82151987127,0.001269593941207603,75505.25236750227
0.0012549734092583988,71840.98276575707,0.0012695002039677464,74895.88086882583
0.0012781437240789114,51658.78244060666,0.001268004122091568,74521.53822218698
0.0012785308201516588,62294.34605530955,0.0012671176121800457,74853.84904102648
0.001258679881059296,62517.26679494627,0.0012674861881853132,74955.68561213092
0.0012466007395706606,55054.1167730469,0.0012652146378456877,74145.27685973785
0.001247936984067697,62059.074917179634,0.0012669679510297978,73086.09679374949
0.0012377136132478463,58223.74799824166,0.0012649854151645698,74490.28367980408
0.0012699783306497478,53721.36899047796,0.0012632404401193404,73823.12165270654
0.001242863060834964,65015.83205842463,0.0012639961880909444,73359.02058184589
