val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.0013897061153380116,200619.00015927976,0.0046124775588236465,421584.32393976336
0.0013642446524417,136697.89944015144,0.0015059147805160707,170685.67567218991
0.0013315569866109635,184156.76419544176,0.001448072077105183,147681.31581988055
0.0013356431260968477,212262.24314784075,0.0014166491649689847,138942.011792854
0.001333882134234114,109334.5409138239,0.001388905768157863,130015.46922075613
0.0013511803369086837,90083.6482651598,0.0013685323948887825,127129.09443028604
0.001360718342392151,167493.48086113768,0.0013536230477372852,123687.79042153757
0.0013074538885008466,115963.8520325158,0.0013363658772827366,119119.15829554405
0.0013148106685580436,112977.99728700706,0.0013260035812608403,118386.45001320056
0.0013053512680535225,79418.25769693595,0.0013160508121572434,115724.52926886373
0.0012959208951853218,95156.01271124686,0.0013076823876379403,114919.6495574854
0.001312471348574269,101854.60216308817,0.0012978350733044318,111473.54769120611
0.0012912435201257073,148516.25502740327,0.001290918960580841,110604.14741185306
0.001291534570885671,122141.30507730113,0.0012902033977333334,107862.75493929053
0.0013107813973516128,99956.22891605968,0.0012837472486286962,106945.22264001738
0.001274937712854187,104126.66170322438,0.0012811007385382404,108014.06433802935
0.0012773403294114541,117413.91022436222,0.0012771520159617575,105796.70378468349
0.001271783303202405,117540.8728847213,0.0012749964777906647,104358.73785024682
0.0012799926999330616,106778.25135892334,0.0012696132700101652,101562.9388418923
0.001293361829751221,75617.23297044498,0.0012662865747478137,100698.94220337126
