val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.0015554757525188883,209714.18094845416,0.005623480564804654,510457.03750834655
0.0012724209844544832,187755.63348672472,0.0015734768520986886,218431.54592302005
0.0013236303055742622,126030.28478691765,0.0014701828581250376,176858.18456855277
0.001488744156564193,56212.933020081,0.001429216989211923,154050.93090905555
0.0012040054272264866,134301.52076771186,0.0013995366650849182,140516.48940173796
0.0012208768064050197,84520.50171736669,0.0013735832555585694,130882.71545763827
0.0012261120714373913,103055.59170209907,0.0013575978043617693,123731.38073423522
0.001204043551443834,108394.85840236521,0.0013413788121355986,119585.5873466523
0.001196892483876283,83906.67277447722,0.0013322530249553822,116384.10503150789
0.001203911494268233,84299.86242829855,0.0013216461718618016,113983.64948814464
0.0011969156011377004,77363.68469309331,0.0013191800745945713,110618.9101457756
0.0012341763245505338,73922.04811874249,0.0013090802075563439,109175.04330903673
0.0011956453509190245,77495.5223979345,0.0013108049529574433,108256.14803843935
0.0011883242035887736,74762.1322691031,0.0013024437109236857,104696.32254875467
0.0011887410740658532,120120.50474617294,0.001299515796457252,104933.7578486091
0.001183594477279915,81354.52980731746,0.0012958516592441558,103989.93800727365
0.0011987975295626378,109254.47913578786,0.0012941049700071054,104062.24039152621
0.0011911408741884803,96169.4929965122,0.0012921446012945656,103382.22803944293
0.0011866006951832847,135158.88246130536,0.0012899143896656555,102801.1476220183
0.0011968665896857585,108404.32524956597,0.0012860068027379702,103379.24721680612
