val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.0015126145346293991,193509.20745582573,0.005085407787489485,450432.6364545407
0.0015164349744037685,110927.73444988193,0.0015371813810777226,124397.08254938421
0.0014745848313270956,190812.70963439482,0.0015160219694950999,111868.98232564535
0.001428818829343859,90800.78359685384,0.0014519439933913909,105939.40507284351
0.0014517110968458736,88684.06510068601,0.001438707605490676,96873.83800343328
0.0014169525171269335,124409.13894413227,0.0014291028238199558,96603.22053039735
0.0014217595045185776,110801.14898278093,0.0014123632684941774,97725.5047440458
0.0014435343746246091,94007.25646108082,0.0014000424052638104,96915.33590914961
0.0014362739764652052,136012.3316654941,0.0013917365891268532,97935.94104405808
0.001404208258490177,103515.41333239323,0.0013861819997923938,99125.62628896594
0.0014449997111896352,89073.8139100155,0.0013746960975231863,97110.24295939947
0.0014302643176256396,128924.67851004958,0.0013764432046952512,98945.70509306324
0.0014361997541032507,115705.50877114832,0.0013711346741175918,99298.36717474837
0.0014199546714343842,113385.60273033872,0.001363165939297327,96157.7903210454
0.0014375672669974429,173254.5174060722,0.0013600357746676574,96645.3120889697
