val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.0020831984227861937,337488.19280972215,0.0042617294740654,443212.61555807275
0.0014979925958815176,201209.66240267956,0.0018407568567173837,262749.69106279104
0.0015926639767687894,143590.44427890494,0.0015992504170203516,218242.40373380668
0.0014360659973878804,121079.94589734166,0.001507897002052976,187376.2767831356
0.0012332584817643804,166215.97193041036,0.001446010154164365,174958.17535191978
0.0012544749146672608,198649.36410313883,0.0013974770942159003,163439.63668327229
0.0011821618190844278,136735.95386758348,0.0013698439533507707,153601.4503143427
0.0016142063123222334,127913.730697633,0.0013503006330953136,149255.8232841457
0.0011587659545539317,110153.07587646612,0.001328742764475745,142407.7622157993
0.0012354660313894374,99700.02361038368,0.0013130966608417493,136174.05144420074
