val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.0013336671261591426,108527.56691285352,0.00631736524881608,453553.75188032916
0.0012420246180739807,74472.57220883088,0.0013617373789860951,120079.4988967856
0.0013344640089596458,52186.07879235557,0.0013167557779847296,102398.73351679185
0.0012056650789805932,69133.3875072005,0.0012856241337917257,92750.51176826231
0.001243045007047663,80575.96652288042,0.0012674056626376183,85820.24114868774
0.0011951382419316183,63613.96046033064,0.001257932032941008,81249.28905978354
0.0011903583507785556,61969.17175637437,0.0012426284583244734,76842.48039023009
0.0011793518867247584,65526.592468230854,0.0012284743891259765,74727.41614968021
0.0012381189262621233,104489.21572312048,0.0012197762056797745,73679.19103842348
0.001192180024304722,103436.74606293302,0.0012082407308735186,71310.52702145859
