val_loss,val_acc,loss,acc
112389728.0,0.0,113810834.95384616,0.0
112386728.0,0.0,113806966.92496075,0.0
112385344.0,0.0,113804691.90329671,0.0
112384792.0,0.0,113803728.76609105,0.0
112384576.0,0.0,113803353.95416012,0.0
112384472.0,0.0,113803196.39309262,0.0
112384440.0,0.0,113803132.17205651,0.0
112384416.0,0.0,113803100.23736264,0.0
112384400.0,0.0,113803086.23924647,0.0
112384400.0,0.0,113803079.41726844,0.0
112384392.0,0.0,113803079.72621664,0.0
112384392.0,0.0,113803078.51302983,0.0
112384392.0,0.0,113803075.41601256,0.0
112384392.0,0.0,113803077.81224489,0.0
112384392.0,0.0,113803078.14631084,0.0
112384392.0,0.0,113803075.54160126,0.0
112384392.0,0.0,113803073.02982731,0.0
112384392.0,0.0,113803078.93500786,0.0
112384392.0,0.0,113803076.10172684,0.0
112384392.0,0.0,113803075.99874412,0.0
112384392.0,0.0,113803076.21475667,0.0
112384392.0,0.0,113803077.48822606,0.0
112384392.0,0.0,113803075.98869702,0.0
112384392.0,0.0,113803075.566719,0.0
112384392.0,0.0,113803076.59152277,0.0
112384392.0,0.0,113803075.95855573,0.0
112384392.0,0.0,113803078.91491365,0.0
112384392.0,0.0,113803075.79277866,0.0
112384392.0,0.0,113803077.20188384,0.0
112384392.0,0.0,113803078.51302983,0.0
112384392.0,0.0,113803077.93783359,0.0
112384392.0,0.0,113803077.42794348,0.0
112384392.0,0.0,113803076.59152277,0.0
112384392.0,0.0,113803078.24427001,0.0
112384392.0,0.0,113803078.85211931,0.0
112384392.0,0.0,113803078.7365777,0.0
112384392.0,0.0,113803076.94568288,0.0
112384392.0,0.0,113803076.10926217,0.0
112384392.0,0.0,113803080.06279434,0.0
112384392.0,0.0,113803076.56389324,0.0
112384392.0,0.0,113803077.71177395,0.0
112384392.0,0.0,113803077.13406594,0.0
112384392.0,0.0,113803074.37613815,0.0
112384392.0,0.0,113803075.77770801,0.0
112384392.0,0.0,113803074.96640502,0.0
112384392.0,0.0,113803078.70392464,0.0
112384392.0,0.0,113803076.82511774,0.0
112384392.0,0.0,113803077.10141288,0.0
112384392.0,0.0,113803078.49042386,0.0
112384392.0,0.0,113803078.51302983,0.0
112384392.0,0.0,113803078.78681318,0.0
112384392.0,0.0,113803075.9233909,0.0
112384392.0,0.0,113803075.90832025,0.0
112384392.0,0.0,113803077.32747252,0.0
112384392.0,0.0,113803075.70486656,0.0
112384392.0,0.0,113803076.5312402,0.0
112384392.0,0.0,113803077.73689169,0.0
112384392.0,0.0,113803077.77959184,0.0
112384392.0,0.0,113803076.52370487,0.0
112384392.0,0.0,113803077.95039247,0.0
112384392.0,0.0,113803078.12621664,0.0
112384392.0,0.0,113803076.69701727,0.0
112384392.0,0.0,113803080.30392465,0.0
112384392.0,0.0,113803076.35039246,0.0
112384392.0,0.0,113803076.29010989,0.0
112384392.0,0.0,113803078.91240188,0.0
112384392.0,0.0,113803077.46059655,0.0
112384392.0,0.0,113803077.52339089,0.0
112384392.0,0.0,113803078.21915227,0.0
112384392.0,0.0,113803079.27158555,0.0
112384392.0,0.0,113803077.98806907,0.0
112384392.0,0.0,113803079.39717425,0.0
112384392.0,0.0,113803078.07598116,0.0
112384392.0,0.0,113803076.22731555,0.0
112384392.0,0.0,113803078.68131869,0.0
112384392.0,0.0,113803080.366719,0.0
112384392.0,0.0,113803077.20941915,0.0
112384392.0,0.0,113803076.84521194,0.0
112384392.0,0.0,113803077.49324961,0.0
112384392.0,0.0,113803076.18963893,0.0
112384392.0,0.0,113803076.48602825,0.0
112384392.0,0.0,113803080.3189953,0.0
112384392.0,0.0,113803078.29701726,0.0
112384392.0,0.0,113803078.39246468,0.0
112384392.0,0.0,113803080.14317112,0.0
112384392.0,0.0,113803077.63642073,0.0
112384392.0,0.0,113803079.27409734,0.0
112384392.0,0.0,113803076.52370487,0.0
